model_name,cpu_cores,gpu_mode,gpu_name,mem_cap_gb,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_w,peak_power_w,energy_j,status,error
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,512,1024,0,2,0.12004544459996395,8.33017865302904,1.6156499999999734,5.410099999999957,0.19757122039510205,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,512,1024,1,2,0.12090619139999034,8.270875034775761,0.7277403846153961,4.177150000000012,0.08460133903005607,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,512,1024,2,2,0.1440101845000754,6.943953328519458,1.1668483870967488,4.086099999999959,0.17134831219121724,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,512,1024,3,2,0.11815680059989972,8.46333004044499,0.8130557692308014,4.769850000000048,0.09373596420580307,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,512,1024,4,2,0.11918535679997148,8.390292455794697,1.12946153846154,5.006,0.1343946577557279,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1024,1024,0,2,0.12800715380017208,7.812063391090379,1.65201481481485,5.452200000000062,0.2110082197240001,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1024,1024,1,2,0.12579376710000362,7.949519463909681,1.1769370370370085,5.4778999999999485,0.1478107828596241,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1024,1024,2,2,0.13700572039997497,7.298965306562358,1.598431034482792,5.071500000000043,0.22123076953342,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1024,1024,3,2,0.11915708100004849,8.39228345984401,1.5352653846153692,6.199699999999979,0.18472225220644767,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1024,1024,4,2,0.13340329170005133,7.496066905518608,1.5798965517241226,4.610999999999976,0.21850775502403383,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1536,1024,0,2,0.11976805689992034,8.349471686224419,1.9347769230769098,7.160199999999975,0.2347616832421937,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1536,1024,1,2,0.12997931810004956,7.693531668094039,1.2811892857142664,5.9858999999999725,0.16591641138387261,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1536,1024,2,2,0.15521264270009852,6.442774136203567,1.82411212121211,4.882899999999978,0.290644844719114,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1536,1024,3,2,0.12829539770009432,7.79451186813122,1.5286142857143166,6.391800000000046,0.20038374411543874,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,1536,1024,4,2,0.12441129180006101,8.03785561207001,1.8034037037036976,6.924699999999987,0.22814940402420772,ok,
amazon/chronos-2,8,GPU_on,NVIDIA GeForce RTX 3080,16,1,2048,1024,0,2,0.15363422900009027,6.508966175756396,1.7733636363636445,6.052050000000008,0.2809951792858618,ok,
