Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0766,0.0733,0.0773,0.0773,0.0729,0.0739
2016,0.0803,0.0733,0.0823,0.0827,0.0746,0.0747
4512,0.0809,0.075,0.0835,0.0836,0.0749,0.078
8064,0.0816,0.0752,0.0844,0.0837,0.0754,0.0794
12560,0.0824,0.0753,0.0845,0.0838,0.0761,0.0797
18144,0.0826,0.0757,0.0845,0.0861,0.0771,0.0803
24640,0.0827,0.0758,0.0848,0.0861,0.0792,0.0803
31877,0.083,0.0758,0.0848,0.0865,0.0793,0.0807
40752,0.0832,0.0767,0.0853,0.0866,0.0799,0.0813
49926,0.0839,0.0772,0.0854,0.0874,0.0805,0.0816
60550,0.0841,0.0828,0.0856,0.0876,0.0814,0.0831
72576,0.0841,0.0831,0.087,0.0883,0.0822,0.0837
85072,0.0852,0.084,0.0892,0.0889,0.084,0.085
98784,0.086,0.086,0.0903,0.089,0.0842,0.0852
113280,0.0866,0.0898,0.0908,0.0901,0.0843,0.0858
128265,0.0886,0.0912,0.0929,0.0905,0.0844,0.0871
145520,0.0887,0.0924,0.0931,0.0926,0.0858,0.0904
163296,0.0896,0.0928,0.0949,0.0923,0.0868,0.0908
181792,0.09,0.0977,0.0981,0.0949,0.0939,0.0913
201600,0.0914,0.0982,0.1005,0.0965,0.1013,0.0978
