Pixels,GPU+CPU8+Mem16,CPU6+Mem12,CPU4+Mem8,CPU3+Mem6,CPU2+Mem4,CPU1+Mem2
496,0.0742,0.0766,0.0763,0.076,0.074,0.0766
2016,0.0777,0.0767,0.0765,0.0791,0.0786,0.0774
4512,0.0783,0.0773,0.078,0.0804,0.0788,0.0785
8064,0.0811,0.0783,0.0805,0.0809,0.0804,0.0785
12560,0.0811,0.0798,0.0806,0.0816,0.0805,0.0802
18144,0.0815,0.0798,0.0814,0.0816,0.0813,0.0803
24640,0.0853,0.0801,0.0823,0.0817,0.0815,0.081
31877,0.0862,0.0825,0.0825,0.0822,0.0822,0.0815
40752,0.0867,0.0829,0.0827,0.084,0.0822,0.0817
49926,0.087,0.0844,0.0829,0.085,0.0824,0.0819
60550,0.0873,0.0846,0.0832,0.0861,0.0825,0.085
72576,0.0883,0.0846,0.0838,0.0861,0.0831,0.0859
85072,0.0898,0.0848,0.0838,0.0866,0.0843,0.0866
98784,0.0909,0.0851,0.0841,0.088,0.0846,0.0869
113280,0.0911,0.0858,0.0842,0.0895,0.0851,0.0872
128265,0.0914,0.0871,0.0875,0.0899,0.0867,0.0879
145520,0.0927,0.0909,0.0875,0.0906,0.0946,0.0882
163296,0.0943,0.0917,0.088,0.0926,0.0953,0.0914
181792,0.0951,0.095,0.0891,0.1009,0.0979,0.0961
201600,0.1064,0.0979,0.095,0.1096,0.1016,0.1048
