model_name,cpu_cores,gpu_mode,gpu_name,mem_cap_gb,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_w,peak_power_w,energy_j,status,error
amazon/chronos-2,8,GPU_off,nan,16,1,512,1024,0,2,0.33937797099997624,2.9465672066265904,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,512,1024,1,2,0.2759262550000017,3.624156751592899,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,512,1024,2,2,0.31339750000000777,3.1908359192398636,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,512,1024,3,2,0.2778388230000246,3.5992090277459585,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,512,1024,4,2,0.2769967550000274,3.6101505954461492,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1024,1024,0,2,0.28561937699998907,3.501163018082062,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1024,1024,1,2,0.2778433799999789,3.5991499959440314,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1024,1024,2,2,0.27113445399999136,3.688207032515432,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1024,1024,3,2,0.2732192409999925,3.6600643363914016,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1024,1024,4,2,0.27309485899996844,3.661731325378467,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1536,1024,0,2,0.31151976300003525,3.2100692115635914,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1536,1024,1,2,0.3158749950000015,3.1658093101038127,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1536,1024,2,2,0.3005075149999925,3.3277038013509412,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1536,1024,3,2,0.324194910000017,3.08456415925823,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,1536,1024,4,2,0.3021151080000095,3.3099966652444555,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2048,1024,0,2,0.34203235600000426,2.923700002230162,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2048,1024,1,2,0.35994915800000626,2.7781701325718413,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2048,1024,2,2,0.3350102449999781,2.9849833398380556,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2048,1024,3,2,0.3590884729999857,2.784829019003458,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2048,1024,4,2,0.3423246210000457,2.9212038476188558,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2560,1024,0,2,0.3800993180000205,2.630891329302375,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2560,1024,1,2,0.3740073499999994,2.673744245935278,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2560,1024,2,2,0.6506107849999694,1.5370172506440192,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2560,1024,3,2,0.43102784799998517,2.3200357114745738,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,2560,1024,4,2,0.39479800899999873,2.5329408386150276,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3072,1024,0,2,0.40549998200003756,2.466091354844764,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3072,1024,1,2,0.7613701309999783,1.3134216319815526,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3072,1024,2,2,0.3862010189999978,2.5893251203462144,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3072,1024,3,2,0.3826615410000045,2.6132754218955814,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3072,1024,4,2,0.43147752100003345,2.3176178394700715,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3584,1024,0,2,0.412397397999996,2.4248455612225026,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3584,1024,1,2,0.40651131200002055,2.4599561450825,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3584,1024,2,2,0.42720858199999157,2.340776946283396,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3584,1024,3,2,0.4129589430000351,2.4215482360916325,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,3584,1024,4,2,0.4177142119999644,2.393981270620702,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4096,1024,0,2,0.4465939559999583,2.2391704736821234,nan,nan,nan,ok,
amazon/chronos-2,8,GPU_off,nan,16,1,4096,1024,1,2,0.45300721900002827,2.2074703405552962,nan,nan,nan,ok,
